feature,score_type,score,abs_score,flagged
age,point_biserial_r,0.48613470828026073,0.48613470828026073,False
chf_1,cramers_v,0.3786535645891,0.3786535645891,False
chf_0,cramers_v,0.3786535645891,0.3786535645891,False
bmi,point_biserial_r,-0.2774812786228156,0.2774812786228156,False
hr,point_biserial_r,0.2592529160348367,0.2592529160348367,False
diasbp,point_biserial_r,-0.18828852901680448,0.18828852901680448,False
mitype_0,cramers_v,0.17348570119881074,0.17348570119881074,False
mitype_1,cramers_v,0.17348570119881074,0.17348570119881074,False
afb_0,cramers_v,0.14985453052808345,0.14985453052808345,False
afb_1,cramers_v,0.14985453052808345,0.14985453052808345,False
sho_0,cramers_v,0.14851639590774263,0.14851639590774263,False
sho_1,cramers_v,0.14851639590774263,0.14851639590774263,False
gender_1,cramers_v,0.14843120879858804,0.14843120879858804,False
gender_0,cramers_v,0.14843120879858804,0.14843120879858804,False
miord_1,cramers_v,0.1402574501879585,0.1402574501879585,False
miord_0,cramers_v,0.1402574501879585,0.1402574501879585,False
cvd_1,cramers_v,0.08163299999648728,0.08163299999648728,False
cvd_0,cramers_v,0.08163299999648728,0.08163299999648728,False
los,point_biserial_r,0.07897011941396921,0.07897011941396921,False
sysbp,point_biserial_r,-0.0746737743394611,0.0746737743394611,False
av3_0,cramers_v,0.06251776294998261,0.06251776294998261,False
av3_1,cramers_v,0.06251776294998261,0.06251776294998261,False
