feature,var_event1,var_event0,min_var,flagged,note
av3_1,0.031645294501195395,0.013886829750432417,0.013886829750432417,False,
av3_0,0.031645294501195395,0.01388682975043242,0.01388682975043242,False,
sho_0,0.07315800912845034,0.017296763034346428,0.017296763034346428,False,
sho_1,0.07315800912845036,0.017296763034346428,0.017296763034346428,False,
afb_0,0.1716148663334058,0.09728193723745984,0.09728193723745984,False,
afb_1,0.1716148663334058,0.09728193723745984,0.09728193723745984,False,
chf_1,0.2510323842642903,0.13343217197924384,0.13343217197924384,False,
chf_0,0.2510323842642903,0.13343217197924384,0.13343217197924384,False,
cvd_1,0.16626820256465982,0.2026192241166296,0.16626820256465982,False,
cvd_0,0.16626820256465982,0.2026192241166296,0.16626820256465982,False,
mitype_0,0.16896326885459684,0.23531010625154436,0.16896326885459684,False,
mitype_1,0.16896326885459684,0.2353101062515443,0.16896326885459684,False,
miord_1,0.24451206259508795,0.20415122312824313,0.20415122312824313,False,
miord_0,0.244512062595088,0.20415122312824313,0.20415122312824313,False,
gender_0,0.25090197783090634,0.22416604892512976,0.22416604892512976,False,
gender_1,0.25090197783090634,0.22416604892512976,0.22416604892512976,False,
los,22.894066507281018,21.55206325673338,21.55206325673338,False,
bmi,28.58320584482505,25.85149675874288,25.85149675874288,False,
age,134.06746359487067,180.75962441314556,134.06746359487067,False,
diasbp,487.85794392523366,419.0913516184828,419.0913516184828,False,
hr,581.7683981743099,473.38875710402766,473.38875710402766,False,
sysbp,1176.9437078895892,935.4513960958735,935.4513960958735,False,
