Task,Model,Fold,C-index,IBS,AUC_mean,AUC_t=673.2,AUC_t=1517.5,AUC_t=2406.0,AUC_t=446.8,AUC_t=1330.0,AUC_t=2215.0,AUC_t=501.5,AUC_t=1345.0,AUC_t=2068.5,AUC_t=563.0,AUC_t=1399.0,AUC_t=2304.0,AUC_t=515.5,AUC_t=1339.5,AUC_t=2156.0,AUC_t=563.5,AUC_t=1321.0,AUC_t=2208.8,AUC_t=521.8,AUC_t=1448.0,AUC_t=2178.2,AUC_t=476.5,AUC_t=1325.0,AUC_t=2277.0,AUC_t=568.5,AUC_t=1352.0,AUC_t=2330.5,AUC_t=576.2,AUC_t=1418.5,AUC_t=2218.2,AUC_t=508.0,AUC_t=1276.0,AUC_t=2221.0,AUC_t=495.0,AUC_t=1273.0,AUC_t=2152.0,AUC_t=440.5,AUC_t=1344.5,AUC_t=2069.8,AUC_t=451.8,AUC_t=1220.0,AUC_t=2000.5,AUC_t=473.0,AUC_t=1367.0,AUC_t=2166.0,AUC_t=457.5,AUC_t=1400.0,AUC_t=2357.0,AUC_t=361.0,AUC_t=1227.0,AUC_t=2029.5,AUC_t=370.0,AUC_t=1130.0,AUC_t=2030.8,AUC_t=453.2,AUC_t=1346.5,AUC_t=2161.5,AUC_t=454.0,AUC_t=1366.5,AUC_t=2276.0
Myocardial Infarction,RSF,4,0.7676331671477302,0.1051698627470115,0.7830115890748148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7700885490175546,0.7703789701218153,0.8047446631403017,,,,,,,,,,,,,,,,,,
Myocardial Infarction,GBSA,4,0.7642318289162949,0.10762307863945415,0.7761041207001161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7602385169355801,0.7643697777181439,0.7995051039186197,,,,,,,,,,,,,,,,,,
Myocardial Infarction,Embedding Cox,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,Kaplan-Meier,5,0.5,0.12576908971399312,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,,,,,,,,,,,,,,,
Myocardial Infarction,Multivariate Cox,5,0.7538404492001272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,DeepSurv,5,0.6726428386577336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,DeepHit,5,0.7061276130776087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,TorchSurv (Custom),5,0.7526618285835364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myocardial Infarction,RSF,5,0.7549164371225765,0.10677507132515329,0.7793231235520175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7886454955138261,0.7842051196786342,0.7676603979820122,,,,,,,,,,,,,,,
Myocardial Infarction,GBSA,5,0.7506025532365717,0.10735818401324827,0.7749397185151837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7870563519013677,0.7776720697488498,0.7628088357209627,,,,,,,,,,,,,,,
Myocardial Infarction,Embedding Cox,5,0.7453765626655366,0.151340145616152,0.764488437278207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7679039010461398,0.7694099658158733,0.757590220245977,,,,,,,,,,,,,,,
Stroke (Ictus),Kaplan-Meier,1,0.5,0.12193115577558428,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,,,,,,,,,,,,
Stroke (Ictus),Multivariate Cox,1,0.7701144609024184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroke (Ictus),DeepSurv,1,0.4878317770752151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroke (Ictus),DeepHit,1,0.4716197338430998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroke (Ictus),TorchSurv (Custom),1,0.7499912705230004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroke (Ictus),RSF,1,0.7724225346211058,0.10012918906107782,0.7908795227679302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7573795851249084,0.7943840550574257,0.8142352086932573,,,,,,,,,,,,
Stroke (Ictus),GBSA,1,0.7685780729504934,0.10028351925108396,0.7858225455423316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7531860149455113,0.7836563537648351,0.8131149509207747,,,,,,,,,,,,
Stroke (Ictus),Embedding Cox,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroke (Ictus),Kaplan-Meier,2,0.5,0.11912359475073007,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,,,,,,,,,
Stroke (Ictus),Multivariate Cox,2,0.7916083539670579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroke (Ictus),DeepSurv,2,0.60984230560087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroke (Ictus),DeepHit,2,0.6248640565524741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroke (Ictus),TorchSurv (Custom),2,0.7716553181182043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroke (Ictus),RSF,2,0.7859094089783615,0.09829627343617109,0.817199867219393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.823450294060726,0.8055834986413911,0.8219011277790369,,,,,,,,,
Stroke (Ictus),GBSA,2,0.7899632629992465,0.09526314284788497,0.8175400537088643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.816618262429474,0.8074422472076497,0.8271430603210321,,,,,,,,,
Stroke (Ictus),Embedding Cox,2,0.7838084696953386,0.14181536315060822,0.8126237462833763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8223748560679021,0.7999456018784458,0.8152119880665621,,,,,,,,,
Stroke (Ictus),Kaplan-Meier,3,0.5,0.12222714714240324,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,,,,,,
Stroke (Ictus),Multivariate Cox,3,0.77300399369064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroke (Ictus),DeepSurv,3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroke (Ictus),DeepHit,3,0.5566485753052918,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroke (Ictus),TorchSurv (Custom),3,0.7661744470919891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroke (Ictus),RSF,3,0.7731583716481525,0.10174249600584002,0.8031543657976982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8024112196153877,0.802677899536507,0.8042046330246798,,,,,,
Stroke (Ictus),GBSA,3,0.7635164613887304,0.10264754037707743,0.794502678003155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7915226819940843,0.7969963308923185,0.7948605674702025,,,,,,
Stroke (Ictus),Embedding Cox,3,0.5,0.14643200647664828,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,,,,,,
Stroke (Ictus),Kaplan-Meier,4,0.5,0.11825105063565002,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5,,,
Stroke (Ictus),Multivariate Cox,4,0.7711217858152021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroke (Ictus),DeepSurv,4,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroke (Ictus),DeepHit,4,0.5125494475514937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroke (Ictus),TorchSurv (Custom),4,0.7686917208250919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroke (Ictus),RSF,4,0.7673248092681548,0.09880319690065535,0.7885049629241166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7432586979856035,0.7919197893454102,0.8211793020806454,,,
Stroke (Ictus),GBSA,4,0.76768861260243,0.09765067735090427,0.7876814925528309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7417815830562293,0.7909115071953835,0.8210210534346238,,,
Stroke (Ictus),Embedding Cox,4,0.6284437694263917,0.14246102977485103,0.6480236381487511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6323684561194183,0.6590863411966592,0.651175814105907,,,
Stroke (Ictus),Kaplan-Meier,5,0.5,0.12159573860169147,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5
Stroke (Ictus),Multivariate Cox,5,0.7725221699212702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroke (Ictus),DeepSurv,5,0.467739554111915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroke (Ictus),DeepHit,5,0.3972390373542005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroke (Ictus),TorchSurv (Custom),5,0.7614415580349222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stroke (Ictus),RSF,5,0.7775806344998417,0.09877302031586813,0.8022509503639373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7727226333971335,0.8085108740343769,0.8209018157659156
Stroke (Ictus),GBSA,5,0.7760951019172764,0.09676303715837188,0.8016935217098008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7769085930771542,0.8093592261782039,0.815383805342256
Stroke (Ictus),Embedding Cox,5,0.5,0.14590607567212288,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5
