dataset,n_bins_requested,n_bins_actual,total_events,min_events_per_bin,median_events_per_bin,bins_lt5_events,empty_bins,valid_samples_last_bin,valid_samples_drop_pct
SEER,500,174,616,0,2.0,111,78,867,78.4
SEER,1000,253,616,0,0.0,192,154,867,78.4
SS_ACTG,10,10,96,9,9.5,0,0,397,65.3
SS_ACTG,20,20,96,3,5.0,8,0,397,65.4
SS_ACTG,30,30,96,2,3.0,30,0,397,65.4
SS_ACTG,50,50,96,1,2.0,50,0,397,65.4
SS_ACTG,100,96,96,0,1.0,96,21,397,65.4
SS_ACTG,300,254,96,0,0.0,254,179,397,65.4
SS_ACTG,500,412,96,0,0.0,412,337,397,65.4
SS_ACTG,1000,805,96,0,0.0,805,730,397,65.4
SS_BREAST,10,10,26,2,2.5,10,0,77,23.0
SS_BREAST,20,20,26,1,1.0,20,0,77,23.0
SS_BREAST,30,30,26,0,1.0,30,5,77,23.0
SS_BREAST,50,50,26,0,0.5,50,25,77,23.0
SS_BREAST,100,100,26,0,0.0,100,75,77,23.0
SS_BREAST,300,300,26,0,0.0,300,275,77,23.0
SS_BREAST,500,500,26,0,0.0,500,475,77,23.0
SS_BREAST,1000,1000,26,0,0.0,1000,975,77,23.0
SS_CANCER,10,10,122,11,12.0,0,0,126,25.4
SS_CANCER,20,20,122,5,6.0,0,0,126,25.4
SS_CANCER,30,30,122,3,4.0,24,0,126,25.4
SS_CANCER,50,50,122,1,2.0,50,0,126,25.4
SS_CANCER,100,99,122,0,1.0,99,6,126,25.4
SS_CANCER,300,283,122,0,0.0,283,172,126,25.4
SS_CANCER,500,468,122,0,0.0,468,357,126,25.4
SS_CANCER,1000,928,122,0,0.0,928,817,126,25.4
SS_CGD,10,10,44,4,4.0,7,0,48,62.5
SS_CGD,20,20,44,1,2.0,20,0,48,62.5
SS_CGD,30,30,44,1,1.0,30,0,48,62.5
SS_CGD,50,50,44,0,1.0,50,8,48,62.5
SS_CGD,100,99,44,0,0.0,99,57,48,62.5
SS_CGD,300,294,44,0,0.0,294,252,48,62.5
SS_CGD,500,489,44,0,0.0,489,447,48,62.5
SS_CGD,1000,977,44,0,0.0,977,935,48,62.5
SS_COLON,10,10,441,44,44.0,0,0,470,48.4
SS_COLON,20,20,441,20,22.0,0,0,470,48.4
SS_COLON,30,30,441,14,15.0,0,0,470,48.4
SS_COLON,50,50,441,8,9.0,0,0,470,48.4
SS_COLON,100,100,441,2,4.0,58,0,470,48.4
SS_COLON,300,298,441,0,1.0,298,18,470,48.4
SS_COLON,500,489,441,0,1.0,489,91,470,48.4
SS_COLON,1000,944,441,0,0.0,944,546,470,48.4
SS_COST,10,10,404,39,40.0,0,0,518,0.0
SS_COST,20,20,404,19,20.0,0,0,518,0.0
SS_COST,30,30,404,12,13.0,0,0,518,0.0
SS_COST,50,50,404,7,8.0,0,0,518,0.0
SS_COST,100,100,404,3,4.0,91,0,518,0.0
SS_COST,300,299,404,0,1.0,299,14,518,0.0
SS_COST,500,491,404,0,1.0,491,121,518,0.0
SS_COST,1000,948,404,0,0.0,948,578,518,0.0
SS_DIABETES,10,10,155,15,15.0,0,0,197,49.5
SS_DIABETES,20,20,155,7,8.0,0,0,197,49.5
SS_DIABETES,30,30,155,5,5.0,0,0,197,49.5
SS_DIABETES,50,50,155,3,3.0,50,0,197,50.0
SS_DIABETES,100,100,155,1,2.0,100,0,197,50.0
SS_DIABETES,300,300,155,0,1.0,300,146,197,50.0
SS_DIABETES,500,500,155,0,0.0,500,346,197,50.0
SS_DIABETES,1000,1000,155,0,0.0,1000,846,197,50.0
SS_DIALYSIS,10,9,1603,0,164.0,1,1,1652,72.4
SS_DIALYSIS,20,15,1603,0,81.0,1,1,1652,72.4
SS_DIALYSIS,30,19,1603,0,55.0,1,1,1652,72.4
SS_DIALYSIS,50,25,1603,0,39.0,1,1,1652,72.4
SS_DIALYSIS,100,32,1603,0,26.0,1,1,1652,72.4
SS_DIALYSIS,300,47,1603,0,15.0,12,11,1652,72.4
SS_DIALYSIS,500,55,1603,0,11.0,21,16,1652,72.4
SS_DIALYSIS,1000,65,1603,0,6.0,31,24,1652,72.4
SS_DLBCL,10,10,138,13,14.0,0,0,141,41.2
SS_DLBCL,20,20,138,6,7.0,0,0,141,41.2
SS_DLBCL,30,30,138,4,5.0,13,0,141,41.2
SS_DLBCL,50,50,138,2,3.0,50,0,141,41.2
SS_DLBCL,100,100,138,0,1.0,100,1,141,41.2
SS_DLBCL,300,296,138,0,0.0,296,163,141,41.2
SS_DLBCL,500,489,138,0,0.0,489,356,141,41.2
SS_DLBCL,1000,975,138,0,0.0,975,842,141,41.2
SS_E1684,10,10,196,18,19.5,0,0,209,26.4
SS_E1684,20,20,196,8,10.0,0,0,209,26.4
SS_E1684,30,30,196,5,6.5,0,0,209,26.4
SS_E1684,50,50,196,2,4.0,42,0,209,26.4
SS_E1684,100,99,196,0,2.0,98,4,209,26.4
SS_E1684,300,270,196,0,1.0,270,109,209,26.4
SS_E1684,500,437,196,0,0.0,437,276,209,26.4
SS_E1684,1000,849,196,0,0.0,849,688,209,26.4
SS_FLCHAIN,10,10,1959,193,196.0,0,0,2054,68.3
SS_FLCHAIN,20,20,1959,95,98.0,0,0,2054,68.4
SS_FLCHAIN,30,30,1959,63,65.0,0,0,2054,68.4
SS_FLCHAIN,50,50,1959,37,39.0,0,0,2054,68.4
SS_FLCHAIN,100,100,1959,18,20.0,0,0,2054,68.4
SS_FLCHAIN,300,300,1959,4,7.0,1,0,2054,68.5
SS_FLCHAIN,500,500,1959,1,4.0,427,0,2054,68.5
SS_FLCHAIN,1000,993,1959,0,2.0,989,18,2054,68.5
SS_FRAMINGHAM,10,10,1465,146,146.0,0,0,2625,42.3
SS_FRAMINGHAM,20,20,1465,73,73.0,0,0,2625,43.0
SS_FRAMINGHAM,30,30,1465,48,49.0,0,0,2625,43.5
SS_FRAMINGHAM,50,50,1465,28,29.0,0,0,2625,43.6
SS_FRAMINGHAM,100,100,1465,14,15.0,0,0,2625,43.6
SS_FRAMINGHAM,300,300,1465,2,5.0,47,0,2625,43.6
SS_FRAMINGHAM,500,500,1465,1,3.0,499,0,2625,43.6
SS_FRAMINGHAM,1000,998,1465,0,1.0,998,31,2625,43.6
SS_GBSG2,10,10,299,29,30.0,0,0,307,53.6
SS_GBSG2,20,20,299,14,15.0,0,0,307,54.0
SS_GBSG2,30,30,299,9,10.0,0,0,307,54.0
SS_GBSG2,50,50,299,5,6.0,0,0,307,54.1
SS_GBSG2,100,100,299,2,3.0,100,0,307,54.2
SS_GBSG2,300,297,299,0,1.0,297,28,307,54.3
SS_GBSG2,500,477,299,0,1.0,477,208,307,54.3
SS_GBSG2,1000,931,299,0,0.0,931,662,307,54.3
SS_GRACE,10,10,324,25,32.0,0,0,821,17.4
SS_GRACE,20,19,324,5,16.0,0,0,821,17.4
SS_GRACE,30,27,324,3,11.0,1,0,821,17.4
SS_GRACE,50,40,324,0,7.0,4,2,821,17.4
SS_GRACE,100,69,324,0,3.0,52,6,821,17.8
SS_GRACE,300,156,324,0,1.0,143,50,821,17.8
SS_GRACE,500,230,324,0,0.0,217,121,821,17.8
SS_GRACE,1000,392,324,0,0.0,379,283,821,17.8
SS_HEART,10,10,45,3,4.0,6,0,47,31.9
SS_HEART,20,20,45,0,2.0,20,1,47,31.9
SS_HEART,30,30,45,0,1.5,30,8,47,31.9
SS_HEART,50,45,45,0,1.0,45,14,47,31.9
SS_HEART,100,78,45,0,0.0,78,47,47,31.9
SS_HEART,300,220,45,0,0.0,220,189,47,31.9
SS_HEART,500,361,45,0,0.0,361,330,47,31.9
SS_HEART,1000,714,45,0,0.0,714,683,47,31.9
SS_HEPATOCELLULAR,10,10,45,1,4.0,6,0,83,17.8
SS_HEPATOCELLULAR,20,16,45,0,2.0,15,1,83,17.8
SS_HEPATOCELLULAR,30,25,45,0,2.0,25,5,83,17.8
SS_HEPATOCELLULAR,50,37,45,0,1.0,37,14,83,17.8
SS_HEPATOCELLULAR,100,63,45,0,0.0,63,40,83,17.8
SS_HEPATOCELLULAR,300,168,45,0,0.0,168,145,83,17.8
SS_HEPATOCELLULAR,500,270,45,0,0.0,270,247,83,17.8
SS_HEPATOCELLULAR,1000,531,45,0,0.0,531,508,83,17.8
SS_LEUKSURV,10,10,879,62,88.0,0,0,880,15.6
SS_LEUKSURV,20,20,879,22,44.0,0,0,880,15.6
SS_LEUKSURV,30,30,879,17,29.0,0,0,880,15.6
SS_LEUKSURV,50,49,879,8,18.0,0,0,880,15.6
SS_LEUKSURV,100,95,879,0,9.0,7,3,880,15.6
SS_LEUKSURV,300,254,879,0,3.0,218,21,880,15.6
SS_LEUKSURV,500,381,879,0,2.0,351,64,880,15.6
SS_LEUKSURV,1000,670,879,0,1.0,645,230,880,15.6
SS_MELANOMA,10,10,57,5,6.0,0,0,91,54.5
SS_MELANOMA,20,20,57,2,3.0,20,0,91,54.7
SS_MELANOMA,30,30,57,1,2.0,30,0,91,54.7
SS_MELANOMA,50,50,57,1,1.0,50,0,91,54.7
SS_MELANOMA,100,100,57,0,1.0,100,44,91,54.7
SS_MELANOMA,300,300,57,0,0.0,300,244,91,54.7
SS_MELANOMA,500,500,57,0,0.0,500,444,91,54.7
SS_MELANOMA,1000,1000,57,0,0.0,1000,944,91,54.7
SS_MGUS,10,10,45,4,4.0,6,0,46,0.0
SS_MGUS,20,20,45,2,2.0,20,0,46,0.0
SS_MGUS,30,30,45,1,1.0,30,0,46,0.0
SS_MGUS,50,50,45,0,1.0,50,6,46,0.0
SS_MGUS,100,100,45,0,0.0,100,56,46,0.0
SS_MGUS,300,300,45,0,0.0,300,256,46,0.0
SS_MGUS,500,500,45,0,0.0,500,456,46,0.0
SS_MGUS,1000,1000,45,0,0.0,1000,956,46,0.0
SS_NWTCO,10,10,571,52,57.0,0,0,1271,68.2
SS_NWTCO,20,20,571,25,28.5,0,0,1271,68.3
SS_NWTCO,30,30,571,14,19.0,0,0,1271,68.3
SS_NWTCO,50,50,571,6,11.0,0,0,1271,68.3
SS_NWTCO,100,100,571,0,6.0,9,1,1271,68.4
SS_NWTCO,300,287,571,0,2.0,282,23,1271,68.4
SS_NWTCO,500,459,571,0,1.0,455,101,1271,68.4
SS_NWTCO,1000,812,571,0,0.0,808,421,1271,68.4
SS_OVARIAN,10,10,12,1,1.0,10,0,22,15.4
SS_OVARIAN,20,20,12,0,1.0,20,9,22,15.4
SS_OVARIAN,30,30,12,0,0.0,30,19,22,15.4
SS_OVARIAN,50,50,12,0,0.0,50,39,22,15.4
SS_OVARIAN,100,100,12,0,0.0,100,89,22,15.4
SS_OVARIAN,300,300,12,0,0.0,300,289,22,15.4
SS_OVARIAN,500,500,12,0,0.0,500,489,22,15.4
SS_OVARIAN,1000,1000,12,0,0.0,1000,989,22,15.4
SS_PBC,10,10,125,11,12.0,0,0,137,56.1
SS_PBC,20,20,125,5,6.0,0,0,137,56.1
SS_PBC,30,30,125,3,4.0,26,0,137,56.1
SS_PBC,50,50,125,1,2.0,50,0,137,56.1
SS_PBC,100,100,125,0,1.0,100,1,137,56.1
SS_PBC,300,295,125,0,0.0,295,174,137,56.1
SS_PBC,500,490,125,0,0.0,490,369,137,56.1
SS_PBC,1000,977,125,0,0.0,977,856,137,56.1
SS_PROSTATE,10,10,328,28,33.0,0,0,337,27.8
SS_PROSTATE,20,20,328,7,17.0,0,0,337,27.8
SS_PROSTATE,30,30,328,3,11.0,3,0,337,27.8
SS_PROSTATE,50,46,328,0,7.5,12,4,337,27.8
SS_PROSTATE,100,68,328,0,4.0,39,12,337,27.8
SS_PROSTATE,300,121,328,0,1.0,93,55,337,27.8
SS_PROSTATE,500,154,328,0,0.0,126,86,337,27.8
SS_PROSTATE,1000,263,328,0,0.0,235,195,337,27.8
SS_RETINOPATHY,10,10,155,15,15.0,0,0,196,49.7
SS_RETINOPATHY,20,20,155,7,8.0,0,0,196,49.7
SS_RETINOPATHY,30,30,155,3,5.0,3,0,196,49.7
SS_RETINOPATHY,50,50,155,1,3.0,49,0,196,50.3
SS_RETINOPATHY,100,98,155,0,2.0,98,3,196,50.3
SS_RETINOPATHY,300,279,155,0,0.0,279,142,196,50.3
SS_RETINOPATHY,500,456,155,0,0.0,456,319,196,50.3
SS_RETINOPATHY,1000,903,155,0,0.0,903,766,196,50.3
SS_RHC,10,10,269,24,27.0,0,0,269,57.6
SS_RHC,20,20,269,11,13.0,0,0,269,57.6
SS_RHC,30,30,269,6,9.0,0,0,269,57.6
SS_RHC,50,50,269,3,5.0,8,0,269,57.6
SS_RHC,100,98,269,0,3.0,92,4,269,57.6
